X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost
1600926.2841,5448528.7253,205,Motueka,ChargeNet NZ,ChargeNet NZ,"271 High St, Motueka 7120, NZ",True,1,False,Unlimited,False,-41.114531,173.011033,DC,2018/09/30 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1795258.7595,5445669.6766,206,Featherston,ChargeNet NZ,ChargeNet NZ,"43 Fitzherbert Street, Featherston 5710, New Zealand",True,1,False,Unlimited,False,-41.116804,175.325726,DC,2016/09/05 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1773841.7179,5445425.5752,207,Upper Hutt,ChargeNet NZ,ChargeNet NZ,"24 Queen St, Upper Hutt 5018, New Zealand",True,1,False,Unlimited,False,-41.123868,175.070866,DC,2017/04/27 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Inoperative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True
1754580.8821,5444942.3558,208,Porirua,ChargeNet NZ,ChargeNet NZ,"12 Parumoana Street, Porirua 5022, New Zealand",True,1,False,Unlimited,False,-41.132114,174.841666,DC,2020/10/16 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1768884.2585,5442806.8696,209,Silver Stream,ChargeNet NZ,ChargeNet NZ,"28 Whitemans Rd, Upper Hutt 5019, New Zealand",True,1,False,Unlimited,False,-41.148489,175.012567,DC,2019/08/07 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True
1751641.5964,5437150.6401,210,Churton Park,ChargeNet NZ,ChargeNet NZ,"69 Lakewood Ave, Wellington 6037, New Zealand",True,1,False,Unlimited,False,-41.202821,174.808593,DC,2019/07/24 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True
1759653.3042,5436026.4552,211,Lower Hutt,ChargeNet NZ,ChargeNet NZ,"1 Stevens Grove, Lower Hutt 5010, New Zealand",True,1,False,Unlimited,False,-41.211402,174.904391,DC,2016/08/25 00:00:00+00,4,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True
1751224.6667,5434922.4866,212,Johnsonville,ChargeNet NZ,ChargeNet NZ,"Wanaka St, Wellington 6037, New Zealand",True,1,False,Unlimited,False,-41.22296,174.804174,DC,2020/12/01 00:00:00+00,8,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:4},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:4}",True
1756987.1624,5434706.3997,213,Petone,ChargeNet NZ,ChargeNet NZ,"114-124 Jackson St, Lower Hutt 5012, New Zealand",True,1,False,Unlimited,False,-41.223808,174.872944,DC,2019/08/28 00:00:00+00,4,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2}",True
1526982.6122,5432965.4757,214,Karamea,ChargeNet NZ,ChargeNet NZ,"103 Bridge Street, Karamea 7893, NZ",True,1,False,Unlimited,False,-41.251426,172.128479,DC,2019/01/11 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True
